
rand
Overlap100,Degree,Closeness,Betweenness,PageRank,k-core
30%,0.18083333333333335,0.1097,0.1233,0.17016666666666666,0.11223333333333337
20%,0.13126666666666667,0.09123333333333332,0.0928666666666667,0.11750000000000001,0.09660000000000003
10%,0.0761,0.07396666666666668,0.05946666666666669,0.07296666666666667,0.0631

bfs
Overlap1000,Degree,Closeness,Betweenness,PageRank,k-core
100%,0.37723333333333336,0.1574333333333333,0.22683333333333336,0.3812666666666667,0.17876666666666668
90%,0.37416666666666665,0.1607,0.22476666666666667,0.3799333333333333,0.17883333333333334
80%,0.3706333333333333,0.16380000000000003,0.22136666666666674,0.37876666666666664,0.17873333333333333
70%,0.3662666666666668,0.16866666666666666,0.2167666666666667,0.3763666666666667,0.17886666666666665
60%,0.3594666666666667,0.18016666666666667,0.2175666666666667,0.37196666666666667,0.17886666666666665
50%,0.3498333333333334,0.1838666666666666,0.21423333333333333,0.36343333333333333,0.17906666666666665
40%,0.3332666666666667,0.1845,0.20493333333333333,0.3531666666666667,0.17819999999999997
30%,0.30789999999999995,0.18196666666666672,0.1945666666666667,0.3292333333333332,0.17689999999999997
20%,0.2808666666666667,0.18123333333333327,0.1873333333333333,0.29506666666666664,0.17173333333333338
10%,0.2129333333333334,0.16020000000000004,0.15313333333333332,0.2178,0.14796666666666664

dfs
Overlap1000,Degree,Closeness,Betweenness,PageRank,k-core
100%,0.37723333333333336,0.1574333333333333,0.22683333333333336,0.3812666666666667,0.17876666666666668
90%,0.3733333333333333,0.1673333333333333,0.22490000000000002,0.37943333333333334,0.17886666666666665
80%,0.3676333333333333,0.1784,0.22166666666666665,0.3771333333333333,0.17873333333333333
70%,0.3612333333333334,0.19076666666666664,0.21769999999999998,0.3736666666666667,0.1788
60%,0.3539333333333333,0.20106666666666673,0.21236666666666668,0.3699,0.17886666666666665
50%,0.3411333333333334,0.2103333333333333,0.20586666666666661,0.3620333333333334,0.17923333333333333
40%,0.3288,0.21553333333333338,0.20183333333333328,0.35339999999999994,0.18013333333333334
30%,0.31686666666666663,0.2214666666666667,0.19960000000000006,0.3434999999999999,0.18500000000000003
20%,0.3002666666666667,0.22623333333333334,0.19873333333333332,0.3305666666666667,0.18793333333333337
10%,0.2798333333333334,0.22469999999999996,0.19376666666666667,0.29363333333333336,0.18883333333333335

sec
Overlap1000,Degree,Closeness,Betweenness,PageRank,k-core
100%,0.37723333333333336,0.1574333333333333,0.22683333333333336,0.3812666666666667,0.17876666666666668
90%,0.3739666666666667,0.16099999999999995,0.22456666666666672,0.38039999999999996,0.17866666666666667
80%,0.37033333333333335,0.1638666666666667,0.2214666666666667,0.3789666666666667,0.17893333333333333
70%,0.36613333333333337,0.16879999999999998,0.21676666666666672,0.37616666666666665,0.17886666666666665
60%,0.36010000000000003,0.18726666666666658,0.21736666666666674,0.37300000000000005,0.17886666666666665
50%,0.34889999999999993,0.20843333333333336,0.21266666666666667,0.36526666666666674,0.17883333333333334
40%,0.3362,0.21453333333333335,0.2124666666666667,0.3572666666666666,0.1788
30%,0.3186,0.21996666666666664,0.2052,0.3436333333333333,0.1788
20%,0.2928,0.21846666666666667,0.20193333333333335,0.31989999999999996,0.17883333333333334
10%,0.24503333333333338,0.2025666666666667,0.1924,0.26916666666666667,0.17679999999999996


rand
Overlap2000,Degree,Closeness,Betweenness,PageRank,k-core
100%,0.39708333333333334,0.17926666666666663,0.2735833333333334,0.4112833333333334,0.2422
90%,0.3772000000000001,0.1742166666666667,0.26234999999999997,0.38745,0.23448333333333332
80%,0.35585,0.16750000000000004,0.24998333333333334,0.36306666666666665,0.22451666666666667
70%,0.3317833333333334,0.16213333333333332,0.2371,0.3344666666666668,0.21676666666666666
60%,0.3099333333333334,0.15976666666666667,0.22301666666666667,0.3083,0.20528333333333335
50%,0.2780333333333333,0.15496666666666672,0.20406666666666667,0.2695166666666668,0.19383333333333336
40%,0.2408666666666667,0.14831666666666665,0.1805166666666667,0.22538333333333335,0.1760333333333333
30%,0.20158333333333334,0.13913333333333336,0.15974999999999998,0.1784166666666666,0.16265000000000004
20%,0.14599999999999996,0.12200000000000001,0.12591666666666665,0.13419999999999999,0.1303666666666667
10%,0.08291666666666665,0.08291666666666665,0.08285,0.08291666666666665,0.08285

bfs
Overlap2000,Degree,Closeness,Betweenness,PageRank,k-core
100%,0.39708333333333334,0.17926666666666663,0.2735833333333334,0.4112833333333334,0.2422
90%,0.39483333333333337,0.1804666666666667,0.2714166666666667,0.41009999999999996,0.2422
80%,0.39265000000000005,0.18279999999999996,0.2690333333333334,0.4099166666666667,0.24230000000000002
70%,0.3898333333333334,0.18501666666666666,0.2654,0.4081,0.24233333333333337
60%,0.38441666666666663,0.19174999999999998,0.26726666666666676,0.4060166666666667,0.24231666666666668
50%,0.37495000000000006,0.1933833333333333,0.26203333333333334,0.3974333333333334,0.24235
40%,0.35855,0.19448333333333334,0.25088333333333335,0.3803166666666667,0.24091666666666667
30%,0.33416666666666667,0.1959,0.24045000000000002,0.3533833333333333,0.2339666666666667
20%,0.3014333333333334,0.19755,0.22596666666666668,0.3144000000000001,0.22285000000000002
10%,0.22906666666666672,0.17581666666666665,0.18761666666666665,0.23280000000000006,0.1982

dfs
Overlap2000,Degree,Closeness,Betweenness,PageRank,k-core
100%,0.39708333333333334,0.17926666666666663,0.2735833333333334,0.4112833333333334,0.2422
90%,0.39371666666666666,0.18654999999999997,0.27164999999999995,0.4094333333333333,0.24220000000000003
80%,0.39020000000000005,0.19459999999999997,0.26905000000000007,0.40820000000000006,0.24209999999999995
70%,0.38550000000000006,0.20363333333333336,0.26615,0.40575000000000006,0.24243333333333336
60%,0.38136666666666674,0.21269999999999997,0.26254999999999995,0.4027166666666666,0.24231666666666668
50%,0.37103333333333327,0.22463333333333338,0.2541333333333334,0.39566666666666667,0.2430833333333333
40%,0.3616333333333333,0.23646666666666674,0.25106666666666666,0.39033333333333337,0.24511666666666662
30%,0.35336666666666666,0.24646666666666667,0.25118333333333337,0.37995000000000007,0.24983333333333332
20%,0.34036666666666665,0.2567333333333333,0.25276666666666664,0.3611833333333333,0.25483333333333336
10%,0.3107333333333333,0.26535000000000003,0.24120000000000003,0.3115333333333334,0.26106666666666667

sec
Overlap2000,Degree,Closeness,Betweenness,PageRank,k-core
100%,0.39708333333333334,0.17926666666666663,0.2735833333333334,0.4112833333333334,0.2422
90%,0.39481666666666654,0.18075000000000002,0.27133333333333337,0.41019999999999995,0.24228333333333338
80%,0.39255000000000007,0.18285,0.2688333333333333,0.40971666666666684,0.24218333333333333
70%,0.3897999999999999,0.1852166666666667,0.26560000000000006,0.40821666666666656,0.24230000000000002
60%,0.38616666666666677,0.1959500000000001,0.2697,0.40766666666666673,0.24231666666666668
50%,0.3782,0.2151333333333333,0.26598333333333335,0.40335,0.24231666666666668
40%,0.3681833333333333,0.2211333333333333,0.26655,0.3966833333333334,0.24231666666666668
30%,0.35398333333333337,0.22921666666666665,0.26326666666666665,0.38400000000000006,0.24235
20%,0.3295,0.2326833333333333,0.25921666666666665,0.3582,0.24213333333333337
10%,0.2763166666666667,0.2196666666666667,0.23501666666666668,0.29473333333333335,0.22976666666666662

